"","baseMean","log2FoldChange","lfcSE","pvalue","padj","rownames"
"Misin18G276400.1",3750.17380306985,1.7551451851179,0.990842376518804,0.00014556746046482,0.0136627995340456,"Misin18G276400.1"
"MisinT497600.1",17.6338896348119,-6.28909217262701,1.73947648657349,2.37860516240172e-06,0.000523050420915889,"MisinT497600.1"
"MisinT351500.1",716.095789138682,-0.522431029710146,0.184581621220427,0.000162834200721435,0.0149960556647304,"MisinT351500.1"
"MisinT265000.1",84.7346954417369,-7.26966198298513,0.894537024338815,2.30550731229032e-17,6.21046032248206e-14,"MisinT265000.1"
"MisinT447600.1",17.2545626901046,3.11248718369588,2.46286916194213,0.000250312297628994,0.0212371260389954,"MisinT447600.1"
"MisinT447800.1",2339.52577416455,0.785045317699565,0.509818272351461,0.000387506817623979,0.0290765038990138,"MisinT447800.1"
"MisinT067200.1",27.5779897186526,2.37170146693611,1.22675767018653,0.00010038967200124,0.0103610988104728,"MisinT067200.1"
"MisinT056300.1",523.655167897593,-4.81278979640078,0.661574959911635,5.9327877095812e-14,9.40085111334373e-11,"MisinT056300.1"
"Misin12G006000.1",10.7961288056346,-6.23705631433848,1.8611911270606,3.80170668477055e-06,0.000761401292349492,"Misin12G006000.1"
"Misin12G006100.1",23.2529535226926,-7.11367718725572,1.81817843029256,7.56362020901478e-07,0.000199750019000329,"Misin12G006100.1"
"Misin12G006200.1",70.9943673864468,-4.46346665170429,0.774143409784273,1.02364240756906e-09,6.06030051733879e-07,"Misin12G006200.1"
"Misin12G016000.1",2030.19013305613,3.49404996203597,0.587892263067905,2.31033558353839e-10,1.59576063542476e-07,"Misin12G016000.1"
"Misin12G022400.1",58.4986196660517,3.64344035932276,1.01022015947582,4.6124726846469e-06,0.000893873978004862,"Misin12G022400.1"
"Misin12G056600.1",14.1778720764658,-5.24924757724287,1.58500468291747,6.5186302247555e-06,0.00117849397100236,"Misin12G056600.1"
"Misin12G084400.1",17.9016478147604,3.73965210299078,2.20128247876701,0.000108159731281188,0.0109101063224897,"Misin12G084400.1"
"Misin12G095900.1",343.994035957482,3.5075689811632,0.480662634028347,2.55436774659305e-14,4.58721874492336e-11,"Misin12G095900.1"
"Misin12G098900.1",27.4376680388366,1.37621160935115,1.15171920099276,0.00054633726779914,0.0373610119242456,"Misin12G098900.1"
"Misin12G108200.1",19980.320515428,-0.586035462029899,0.249343622496958,0.00022126170645148,0.0193200558104919,"Misin12G108200.1"
"Misin12G113600.1",45.4615735740329,-6.59478851476682,1.03974235215547,1.83413214202553e-11,1.64689781919376e-08,"Misin12G113600.1"
"Misin12G114200.1",1105.60870709568,3.29562350939788,0.561265631340742,3.32476692320914e-10,2.21138046898633e-07,"Misin12G114200.1"
"Misin12G117100.1",400.816425644864,-1.23940661807046,0.578456826847553,5.85732660812878e-05,0.00689003211818642,"Misin12G117100.1"
"Misin12G120700.1",125.907388428217,3.64333615043724,0.815290185414391,4.02049539409432e-07,0.000118362945003733,"Misin12G120700.1"
"Misin12G124800.1",21.3882357013485,5.65642950896921,2.05615261776348,1.21161574362449e-05,0.00191987641728733,"Misin12G124800.1"
"Misin12G125900.1",30.5396059188162,5.51829657108192,0.865132794389246,2.57927508737074e-11,2.2780073005262e-08,"Misin12G125900.1"
"Misin12G131100.1",4082.46417163041,0.814133913549914,0.411154163228723,0.000129382682562076,0.012489005760329,"Misin12G131100.1"
"Misin12G147300.1",853.559249164755,1.120814738148,0.842342954767149,0.000444918391918155,0.0323481489400683,"Misin12G147300.1"
"Misin12G152200.1",1178.39055871635,0.65051832089441,0.328336586328838,0.000267816746875416,0.0221637899199893,"Misin12G152200.1"
"Misin12G156400.1",21.6804561015822,4.208530709665,1.18259415841805,5.13910167336834e-06,0.000977946902763922,"Misin12G156400.1"
"Misin12G160100.1",82.1151636570794,3.79788735199735,0.955069255772873,1.9276023652937e-06,0.000441913095447651,"Misin12G160100.1"
"Misin12G160300.1",736.065395451023,0.903091112663704,0.646897544355671,0.000445994333044487,0.0323826747881021,"Misin12G160300.1"
"Misin12G170300.1",12.4157318407069,3.86007276672304,2.24244388991096,9.99325061038382e-05,0.0103337116436551,"Misin12G170300.1"
"Misin12G190200.1",46.2396997724199,1.68988385424983,1.43913497897647,0.000508959594657884,0.0355183914018051,"Misin12G190200.1"
